step,reward,mean_capacity,min_capacity,max_capacity,loss,eps
0.0,0.9924124022550955,1.2256597304706163,0.9924124022550955,1.25,0.0,0.9
1.0,1.1985032845336374,1.2416129631878523,1.1985032845336374,1.2499857860104513,0.0,0.897004994449071
2.0,1.1627528248995929,1.238690472489344,1.1627528248995929,1.2497715180130093,0.0,0.894019955629531
3.0,0.2127823921185278,1.192462859150605,0.2127823921185278,1.2499862977199165,0.0,0.8910448503742513
4.0,0.9839158784490292,1.2190035746322792,0.9839158784490292,1.248934112444202,0.0,0.8880796456264761
5.0,1.2199031627464376,1.243139403952973,1.2199031627464376,1.249997983669612,0.0,0.8851243084394558
6.0,0.9092778231951981,1.2239375810055801,0.9092778231951981,1.249809046574661,0.0,0.8821788059760798
7.0,1.2131686203737844,1.2363916265992843,1.2131686203737844,1.2499512943966011,0.0,0.8792431055085128
8.0,1.1528186932704116,1.2331640003383773,1.1528186932704116,1.2498825497768542,0.0,0.8763171744178305
9.0,1.1025231091770176,1.227493906037282,1.1025231091770176,1.2498866574796308,0.0,0.8734009801936573
10.0,1.1968039146088156,1.2382029277958255,1.1968039146088156,1.2499639062157368,0.0,0.8704944904338053
11.0,0.7952087208165552,1.215444087169838,0.7952087208165552,1.2499832235184798,0.0,0.8675976728439139
12.0,1.1510524786586063,1.2289587694129533,1.1510524786586063,1.248966843685496,0.0,0.8647104952370909
13.0,1.118471382782992,1.224408143198715,1.118471382782992,1.2499407800785767,0.0,0.8618329255335557
14.0,0.6504559360485691,1.2054339442524837,0.6504559360485691,1.249869644758844,0.0,0.858964931760282
15.0,1.160332132080082,1.232421494835243,1.160332132080082,1.25,0.0,0.8561064820506427
16.0,1.0479025896570064,1.2340344106509389,1.0479025896570064,1.2499618840629403,0.0,0.853257544644056
17.0,1.1101890440329458,1.2179344355327764,1.1101890440329458,1.2492201044556832,0.0,0.8504180878856326
18.0,0.8172673552258726,1.2073292408387515,0.8172673552258726,1.2499959039075574,0.0,0.8475880802258239
19.0,0.7040469665766002,1.2088322792491994,0.7040469665766002,1.2499906079679919,0.0,0.8447674902200709
20.0,1.0839410977800072,1.2200710902736778,1.0839410977800072,1.2499355618249326,0.0,0.841956286528456
21.0,1.0207331260464814,1.2059854998282247,1.0207331260464814,1.25,0.0,0.8391544379153535
22.0,0.4958759621818969,1.1768410849149944,0.4958759621818969,1.25,0.0,0.8363619132490833
23.0,1.1147090856220736,1.2353527791638699,1.1147090856220736,1.25,0.0,0.8335786815015647
24.0,0.16501586846596955,1.143307971670247,0.16501586846596955,1.25,0.0,0.8308047117479722
25.0,1.092029934266847,1.227690385691894,1.092029934266847,1.25,0.0,0.828039973166391
